ar,kommun,ljusforhallande,manad,svarighetsgrad,vaderlek
2003,Stockholm,Dagsljus,2,Lindrig olycka,Snöfall
2003,Stockholm,Okänt,2,Lindrig olycka,Okänt
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Okänt
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Okänt,3,Lindrig olycka,Okänt
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Gryning/skymning,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Svår olycka,Uppehållsväder
2003,Stockholm,Gryning/skymning,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Svår olycka,Uppehållsväder
2003,Stockholm,Gryning/skymning,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Svår olycka,Regn
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Okänt,3,Lindrig olycka,Okänt
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Okänt
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Okänt
2003,Stockholm,Dagsljus,3,Svår olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Mörker,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Svår olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Svår olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Okänt,3,Svår olycka,Okänt
2003,Stockholm,Gryning/skymning,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Dödsolycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Svår olycka,Uppehållsväder
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2003,Stockholm,Okänt,3,Lindrig olycka,Okänt
2003,Stockholm,Dagsljus,3,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Okänt,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Regn
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Mörker,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Regn
2004,Stockholm,Dagsljus,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Regn
2004,Stockholm,Mörker,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Gryning/skymning,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Svår olycka,Uppehållsväder
2004,Stockholm,Gryning/skymning,5,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Regn
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Mörker,5,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Okänt,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Okänt,6,Svår olycka,Okänt
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Gryning/skymning,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Regn
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Okänt,6,Lindrig olycka,Okänt
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Mörker,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Svår olycka,Uppehållsväder
2004,Stockholm,Okänt,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Svår olycka,Uppehållsväder
2004,Stockholm,Dagsljus,6,Lindrig olycka,Regn
